tweet_id	user_id	Drug Mention(0 -> No 1->Yes)
46993489828909057	182266659	0
397783574797352960	545313028	1
400641718372270080	388247063	0
401583766973734912	1590139340	0
404288692514078720	34971386	1
414145733693296640	1097037367	1
419988154662535168	206067340	1
421574264009928705	112408414	1
422202081228128256	22925404	0
423501388380143616	56367933	0
424374427963625472	1891671350	0
429699677307826178	320008016	0
432728319499329538	238009460	1
435351052854894592	414073002	0
442004440187289601	1911089700	1
448939997878812672	275248594	0
449396189465935872	275248594	0
452520176169123840	59183026	1
458285407411503104	245182795	0
460049060661956610	442018380	1
460821083680411649	22673457	1
461217285928390658	323299829	0
461717878710878208	221097446	0
469265848083828736	34468565	0
481355893968498688	414073002	0
481742112250011648	2364553740	0
486476599684919296	28914084	0
486893968324841472	882259531	0
494246100791226369	459938614	0
494997530942267394	408076893	0
499738670052941824	61931792	0
501441479404187648	477703990	0
505041229835677696	53849727	1
505099661192204290	1523380735	0
508361702032044032	130626442	1
510399075930619904	1157952517	0
512025350688481280	103301172	1
512692001494429696	85151902	1
512701088995110912	1710354158	0
514402788944928768	1610325013	1
515974009041997825	397745925	1
516447412060057600	246078498	1
516776432165736448	1288790522	0
518179192442454018	248358918	1
520383047603322881	114368183	1
522125084396244992	288962301	0
526520055203254273	137907836	1
526547777384611840	248537549	1
527197289979592704	131370286	1
530193656888586241	2575343510	1
530894816339853313	406653757	0
534474586901860353	28305745	0
534831570793005056	40029897	1
535866602194231296	354855472	0
537225789067239424	376089162	1
540578205204484096	460522504	0
542547857019269120	2236779152	1
552648942337273858	194727028	1
553806955303944192	2820868761	0
556372325718052864	2207631552	1
556722863042879489	96305269	0
557077834506981376	2421363696	0
563411123651616769	245182795	1
568696827450515456	98013151	0
569082324706570241	1070462030	1
569375911021322240	229653366	1
577663639152435200	270518143	0
578112004063277056	20539557	1
581340188661714944	3091584322	0
583298608675491840	291989642	0
584512614765432833	37728023	1
585199728826130432	1201402910	1
587457396563390464	2341726142	1
587661242174570498	79250323	1
588167601920028673	1340393137	1
589415722167578624	946505696	1
590965178268684288	67197351	1
594760963762487296	37728023	1
597800852649168896	2904468944	0
604282231578824704	66077046	1
611613968151486464	66769647	1
613473999037800448	1429106155	1
614268603118911488	458532120	0
615087833473241089	27956109	0
620241325296848896	236237519	1
621393826591191040	1513251314	0
621729167906881540	434153805	1
621749999760707584	67157872	0
624285986835558400	280329066	1
633493227035885568	23550047	1
637612426574331904	3313030383	1
638569192262729728	479977051	1
639965562383286272	2201934477	1
640370485503528960	1549667538	1
646225993758191616	118281788	0
646871647270666240	20258165	1
649017664174592001	933758694	0
651613676458274816	1146658867	0
651943880158519296	61369512	1
652645805195661313	224266113	0
654994799678877696	25726490	1
655258721078128640	2653940470	1
658047681617465345	3826905794	1
660896541926932481	17694056	1
660952757948588033	275248594	1
661942266731167745	253312240	0
664978519382888448	2729241191	0
666295379286056960	231104880	1
666772040372785153	231104880	1
669367233794052096	231104880	1
669368304801198080	231104880	1
669720700677148672	350620700	0
669745197375430657	1454580913	1
670311417371860992	29393121	0
671803230335188993	3020647655	1
673576594636673024	632493133	0
679095953941393408	179825324	1
681892697188122625	449341656	0
684925048658898944	23116894	1
685991713182236674	2616928944	1
687483724171243520	1860661500	0
689143153136369664	15810715	1
693206377095897089	1124261990	1
694612071271567360	37387830	1
695186321053130754	525208944	1
696822064347537409	2308954844	0
697621980066017280	2557682928	0
697974476152008704	3237143043	0
701137004067745798	23024519	0
710966945055543296	302765767	1
711206239825485826	414073002	1
711762436613738496	2929198862	0
711840470079504385	1257761390	0
711856214666297344	414073002	0
712750469450366976	20406312	1
713041664688787456	4828077034	1
713930009539256320	710164740153221121	1
717556116910047232	169875592	0
717724572485820416	414073002	1
719658350414135296	1357311444	0
721710685961527296	402233419	1
722293336397053952	362655140	0
724439217233747968	39633585	1
724850563377205249	76826420	1
727260828030869505	123282426	1
728949958871633920	3507760932	0
729491459708162048	2287485296	1
730431338952564736	40889695	1
733765555186962432	78951073	1
736066261424046088	1112171390	0
736265500863369216	2349928272	1
737130107349962753	345056330	0
737286407316602881	69057175	0
741270300311048192	222673441	1
743128835915292672	2985378649	0
743331946478993408	628659918	0
750111270867759105	384890819	1
753945786228944896	442934291	1
757336236814139393	557720042	0
757642380350672896	368374295	0
757819339403767808	41464007	0
759568959821586432	2474753641	1
765046622782971904	349338716	0
765215773207982080	50466068	1
765846545900199936	60622943	1
766010941125169152	19041824	1
766443849656832000	119973332	0
766678327478325248	978931344	0
768085970893869056	209170403	1
768211785967136769	170497487	1
769220264546611201	382815761	1
769386822518595584	183853204	1
771109745872740352	54273401	1
771227073243340800	3153836755	0
771551550292369410	551374867	1
772275101869846528	1692954978	0
773294866415706113	330126283	0
773978566874857472	2191378198	1
774975754337607680	279371454	1
778580428429156352	70740386	1
778957655364763648	630609426	0
779045697987371008	3000752650	0
779393538324770816	188852875	0
780463356453027841	622951828	0
780466166393212928	456349775	1
782420941947056130	150976111	1
784052712757456896	20476157	1
784989395426222080	545731974	0
785644724078145536	21394411	0
787239385766866944	226406121	1
788124601624637440	1969152360	0
788190400489979904	38374667	1
788527716924530688	82082339	0
789351338920517632	2581887973	1
791512085121249280	855574573	0
791526814547980288	740308692474548225	0
791544242162196480	1478477322	0
791718177789059076	339420609	0
792871032474308608	31336678	1
793579100757692416	2365805933	0
794520118554402817	710014100	1
795310141017128960	40889695	1
796348920003579904	28305745	1
797206862361985024	149750148	0
797470413962047488	2573586875	0
799456958340354048	533883239	0
799663680698859520	743832588	0
801486971763884034	44043523	0
805927179909468160	55703572	1
806546872869462016	22930969	0
808534175577948160	886103084	1
809561355753848832	756347766	0
810350998204149760	99015732	0
812135711075799040	404606423	0
812645617767972864	231951591	0
813134636188631040	1078579459	1
814479674348896256	1522786783	1
814602504700735488	44651939	1
816476939150098432	285357121	0
816729979136327680	25533847	1
817687498671394816	19923638	0
818548623554199554	830534940	0
818565487793700865	1589297430	0
818835468863279104	2867330903	0
820704300057755648	817566506007425025	1
821053503003041794	414073002	1
822437173010038785	924972482	1
822509138995511301	3198488214	0
824311515272462336	238646230	0
824427289735790592	1025562031	1
824991343852281856	118544826	0
825887183068229632	491884729	1
826567602910674945	1876735926	0
827172547825434626	229500642	1
827590769087098880	800695854	0
828301617388732416	382815761	1
831708071277756416	117254265	0
835046503181758464	724912023159578624	0
836395145012592641	19240173	1
836438238898307072	29106673	1
836979247432499200	82138834	0
838335235917897729	42386192	1
838530333112954881	1063140368	0
838559457818783744	2432894688	1
838582756808527872	1403895906	0
839234006444982272	712515849995886592	0
839515154094112768	433302244	1
839593765065093138	468218819	1
840412171821543424	70484707	0
840567679878590465	2665999743	1
841412571043385345	98040681	0
841804624164208640	323890751	0
841805777601945600	2352973992	0
841859693354094592	361488635	0
842815977003859969	763160965684731905	0
